"0dfca0da-109f-4caf-b008-2b553f1b614d","zasti","ˈzasti","gismu","<u class=""se_basna"" title=""アクセント"">za</u>sti","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (観点)・ <var class=""x3"">x<sub>3</sub></var> (認識体系)において実在する","","<li>存在する</li>","<li class=""cimei-lerfu"">zat</li><li class=""cimei-lerfu"">za'i</li><li class=""vomei-lerfu"">zast</li>","","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/fatci"" title=""x1 (命題)は事実 / 現実""><u class=""se_basna"">fa</u>tci</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/xanri"" title=""x1 は x2 (者)による想像; x1 は架空 / 想像上のもの / 非現実""><u class=""se_basna"">xa</u>nri</a></li>","","C1::ペア・ワード","[sound:zasti.flac]"
"def576b7-893f-41b4-ac13-0d0b16608741","xanri","ˈxanri","gismu","<u class=""se_basna"" title=""アクセント"">xa</u>nri","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (者)による想像; <var class=""x1"">x<sub>1</sub></var> は架空 / 想像上のもの / 非現実","","<li>想像</li>","<li class=""cimei-lerfu"">xar</li><li class=""vomei-lerfu"">xanr</li>","<li>&lt;半分理解&gt;</li><li>想像を管理</li><li>xuan(幻)</li><li>unreal</li>","<li><a class=""cmavo"" href=""https://jbovlaste.lojban.org/dict/da'i"" title=""非現実 (da'i 非現実 - da'inai 現実)"">da'i</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/fatci"" title=""x1 (命題)は事実 / 現実""><u class=""se_basna"">fa</u>tci</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/senva"" title=""x1 は x2 (事)を夢見る; x2 は夢想 / 幻想""><u class=""se_basna"">se</u>nva</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/sucta"" title=""x1 (概念)は x2 (具体的なもの)を x3 (原理)によって抽象化 / 概念化 / 一般化したもの""><u class=""se_basna"">su</u>cta</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/zasti"" title=""x1 は x2 (観点)・ x3 (認識体系)において実在する""><u class=""se_basna"">za</u>sti</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/cfika"" title=""x1 は x2 (内容)・ x3 (著者)のフィクション作品""><u class=""se_basna"">cfi</u>ka</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/dacti"" title=""x1 は時空間内の存在 / 物体; x1 は物""><u class=""se_basna"">da</u>cti</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/menli"" title=""x1 は x2 (本体)の精神 / 心 / 悟性; x1 は心的""><u class=""se_basna"">me</u>nli</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/sidbo"" title=""x1 (抽象)は x2 (物 / 事)の、 x3 (思考者)による概念 / 観念 / アイディア / コンセプト""><u class=""se_basna"">si</u>dbo</a></li>","","C1::ペア・ワード","[sound:xanri.flac]"
"b24d2a23-576a-4070-af6c-605aa5d953c9","bilma","ˈbilma","gismu","<u class=""se_basna"" title=""アクセント"">bi</u>lma","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (症状)の <var class=""x3"">x<sub>3</sub></var> (病)を患っている","","<li>患う</li>","<li class=""cimei-lerfu"">bi'a</li><li class=""vomei-lerfu"">bilm</li>","<li>&lt;ビルでマスク&gt;</li><li>bin(病)</li><li>ill</li><li>mal</li>","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/kanro"" title=""x1 は x2 (基準)において健康 / すこやか""><u class=""se_basna"">ka</u>nro</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/mikce"" title=""x1 は x2 (者)を x3 (病気 / 怪我)について x4 (治療手段)で応接する医者 / 看護士""><u class=""se_basna"">mi</u>kce</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/spita"" title=""x1 は x2 (患者)・ x3 (病 / 疾患)のための病院; x2 は x3 のために x1 に入院する""><u class=""se_basna"">spi</u>ta</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/senci"" title=""x1 はくしゃみする""><u class=""se_basna"">se</u>nci</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/kafke"" title=""x1 は x2 (気体)を x3 (開口部)から放つ; x1 は咳 / げっぷ / おならをする""><u class=""se_basna"">ka</u>fke</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/binra"" title=""x1 は x2 (者)を x3 (危険 / 損害)にたいして x4 (特典)で保証 / 保障 / 補償する""><u class=""se_basna"">bi</u>nra</a></li>","<div class=""mupli""><p lang=""jbo""><span class=""gismu"" ondblclick=""location.href = &quot;https://jbovlaste.lojban.org/dict/risna&quot;"" title=""x1 は x2 (本体)の心臓""><u class=""se_basna"">ri</u>sna</span> <span class=""lujvo"" ondblclick=""location.href = &quot;https://jbovlaste.lojban.org/dict/terbi'a&quot;"">te<u class=""se_basna"">rbi</u>'a</span></p><p lang=""ja"">心臓病</p></div><div class=""mupli""><p lang=""jbo""><span class=""gismu"" ondblclick=""location.href = &quot;https://jbovlaste.lojban.org/dict/sudga&quot;"" title=""x1 は x2 (液体)を欠いて乾燥している / 乾いている""><u class=""se_basna"">su</u>dga</span> <span class=""lujvo"" ondblclick=""location.href = &quot;https://jbovlaste.lojban.org/dict/selbi'a&quot;"">se<u class=""se_basna"">lbi</u>'a</span></p><p lang=""ja"">脱水症</p></div>","C1::ペア・ワード","[sound:bilma.flac]"
"1112bb70-0a85-44e9-a38e-cda3f5a204f1","kanro","ˈkanro","gismu","<u class=""se_basna"" title=""アクセント"">ka</u>nro","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (基準)において健康 / すこやか","","<li>健康</li>","<li class=""cimei-lerfu"">ka'o</li><li class=""vomei-lerfu"">kanr</li>","<li>kang(康)</li><li>sano 甘露</li>","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/bilma"" title=""x1 は x2 (症状)の x3 (病)を患っている""><u class=""se_basna"">bi</u>lma</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/mikce"" title=""x1 は x2 (者)を x3 (病気 / 怪我)について x4 (治療手段)で応接する医者 / 看護士""><u class=""se_basna"">mi</u>kce</a></li>","","C1::ペア・ワード","[sound:kanro.flac]"
"832f6d92-992f-4041-a7b9-bac33263e9a4","cilmo","ˈʃilmo","gismu","<u class=""se_basna"" title=""アクセント"">ci</u>lmo","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (液体)で湿っている / 濡れている / じめじめしている; <var class=""x1"">x<sub>1</sub></var> はしけている","","<li>濡れる</li>","<li class=""cimei-lerfu"">cim</li><li class=""vomei-lerfu"">cilm</li>","<li>汁</li>","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/litki"" title=""x1 は x2 (成分 / 物質)の、 x3 (条件)における液体 / 流動体""><u class=""se_basna"">li</u>tki</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/lunsa"" title=""x1 は x2 の表面 / 中で、 x3 (温度)・ x4 (圧力)の条件下で凝結 / 液化する""><u class=""se_basna"">lu</u>nsa</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/sudga"" title=""x1 は x2 (液体)を欠いて乾燥している / 乾いている""><u class=""se_basna"">su</u>dga</a></li>","","C1::ペア・ワード","[sound:cilmo.flac]"
"26172588-49ed-4aab-827c-5515428519b5","sudga","ˈsudga","gismu","<u class=""se_basna"" title=""アクセント"">su</u>dga","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (液体)を欠いて乾燥している / 乾いている","","<li>乾燥</li>","<li class=""cimei-lerfu"">sud</li><li class=""vomei-lerfu"">sudg</li>","","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/cilmo"" title=""x1 は x2 (液体)で湿っている / 濡れている / じめじめしている; x1 はしけている""><u class=""se_basna"">ci</u>lmo</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/litki"" title=""x1 は x2 (成分 / 物質)の、 x3 (条件)における液体 / 流動体""><u class=""se_basna"">li</u>tki</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/runta"" title=""x1 は x2 (溶媒)の中で分解 / 分散し、 x3 (溶液)を成す、 x4 (条件)において; x1 はばらける""><u class=""se_basna"">ru</u>nta</a></li>","","C1::ペア・ワード","[sound:sudga.flac]"
"b0740615-ed75-4fc9-b05d-740847c30bdc","darno","ˈdarno","gismu","<u class=""se_basna"" title=""アクセント"">da</u>rno","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> から <var class=""x3"">x<sub>3</sub></var> (性質)に関して遠い","","<li>遠い</li>","<li class=""cimei-lerfu"">dar</li><li class=""cimei-lerfu"">da'o</li><li class=""vomei-lerfu"">darn</li>","","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/jibni"" title=""x1 は x2 に、 x3 (性質)に関して近い / 近似""><u class=""se_basna"">ji</u>bni</a></li>","","C1::ペア・ワード","[sound:darno.flac]"
"1fa437b5-b7a0-4e08-8d1c-7ac6f41b4db9","jibni","ˈʒibni","gismu","<u class=""se_basna"" title=""アクセント"">ji</u>bni","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> に、 <var class=""x3"">x<sub>3</sub></var> (性質)に関して近い / 近似","","<li>近い</li>","<li class=""cimei-lerfu"">jbi</li><li class=""vomei-lerfu"">jibn</li>","<li>ジブリに近い</li>","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/darno"" title=""x1 は x2 から x3 (性質)に関して遠い""><u class=""se_basna"">da</u>rno</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/nenri"" title=""x1 は x2 の中(にある); x1 は内部 / 内側; x2 は x1 を内蔵する""><u class=""se_basna"">ne</u>nri</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/vanbi"" title=""x1 (個 / 群)は x2 の環境 / 周囲 / 文脈 / 雰囲気""><u class=""se_basna"">va</u>nbi</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/jbini"" title=""x1 は x2 (集合)の間に在る、 x3 (性質)に関して; x1 は x2 の中間""><u class=""se_basna"">jbi</u>ni</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/lamji"" title=""x1 は x2 に、 x3 (並列特性)・ x4 (並列方向)で隣接する / 隣り合う; x1 は x2 の隣""><u class=""se_basna"">la</u>mji</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/zvati"" title=""x1 (物 / 事)が x2 (事 / 所)に居る / 在る"">z<u class=""se_basna"">va</u>ti</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/cpana"" title=""x1 は x2 (表面)の上に(置いて / 立って)在る、 x3 (観点)で""><u class=""se_basna"">cpa</u>na</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/bartu"" title=""x1 は x2 の外 / 外部 / 外側""><u class=""se_basna"">ba</u>rtu</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/diklo"" title=""x1 は x2 (局所)・ x3 (領域)について局所的 / ローカル; x1 は x2 に局在する""><u class=""se_basna"">di</u>klo</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/stuzi"" title=""x1 は x2 (物 / 事)の本質的 / 恒久的な場所 / 現場""><u class=""se_basna"">stu</u>zi</a></li>","","C1::ペア・ワード","[sound:jibni.flac]"
"5e2408ba-91ee-4e57-b58c-2b37d41ca502","fliba","'fliba","gismu","<u class=""se_basna"" title=""アクセント"">fli</u>ba","<var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> (事)に失敗する; <var class=""x1"">x<sub>1</sub></var> は <var class=""x2"">x<sub>2</sub></var> を怠る","<var class=""x2"">x<sub>2</sub></var> は達成されなかった / 実現されなかった事。","<li>失敗</li>","<li class=""cimei-lerfu"">fli</li><li class=""vomei-lerfu"">flib</li>","","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/cfila"" title=""x1 (性質)は x2 の、 x3 (問題 / 厄介 / 危険)をもたらす欠陥 / 欠点 / 弱点 / 不備 / 短所 / 落度 / 過失""><u class=""se_basna"">cfi</u>la</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/snada"" title=""x1 (者)は x2 (成果)を x3 (努力 / 試み)によって達成する / 成功させる""><u class=""se_basna"">sna</u>da</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/srera"" title=""x1 は x2 (事)に関して、 x3 (条件)・ x4 (基準)で誤る / 間違う""><u class=""se_basna"">sre</u>ra</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/troci"" title=""x1 は x2 (事 / 状態 / 性質)を x3 (手段 / 方法)で達成 / 獲得しようと努める / 努力する; x1 は x2 をやってみる""><u class=""se_basna"">tro</u>ci</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/sisti"" title=""x1 (者)は x2 (動作 / 過程 / 状態)をやめる / 中止 / 終了する""><u class=""se_basna"">si</u>sti</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/ranji"" title=""x1 (事 / 性質)は x2 (時間 / 期間)にわたって継続する / 続く""><u class=""se_basna"">ra</u>nji</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/denpa"" title=""x1 は x2 (事)を x3 (状態)ながら待つ、 x4 (事)の開始以前 / 再開以前に""><u class=""se_basna"">de</u>npa</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/bebna"" title=""x1 は x2 (性質)に関して愚か / ばかげている / 思慮が無い; x1 は阿呆 / 馬鹿""><u class=""se_basna"">be</u>bna</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/zunti"" title=""x1 (事)は x2 (事)に、 x3 (性質)に関して干渉する / わりこむ""><u class=""se_basna"">zu</u>nti</a></li>","","C1::ペア・ワード","[sound:fliba.flac]"
"1132b8c5-e8e4-40fc-9937-95fa149d5cac","snada","'snada","gismu","<u class=""se_basna"" title=""アクセント"">sna</u>da","<var class=""x1"">x<sub>1</sub></var> (者)は <var class=""x2"">x<sub>2</sub></var> (成果)を <var class=""x3"">x<sub>3</sub></var> (努力 / 試み)によって達成する / 成功させる","","<li>成功</li>","<li class=""cimei-lerfu"">sad</li><li class=""vomei-lerfu"">snad</li>","<li>成功砂だ</li>","<li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/fliba"" title=""x1 は x2 (事)に失敗する; x1 は x2 を怠る""><u class=""se_basna"">fli</u>ba</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/troci"" title=""x1 は x2 (事 / 状態 / 性質)を x3 (手段 / 方法)で達成 / 獲得しようと努める / 努力する; x1 は x2 をやってみる""><u class=""se_basna"">tro</u>ci</a></li><li><a class=""gismu"" href=""https://jbovlaste.lojban.org/dict/jgira"" title=""x1 (者)は x2 (事)について誇る / 誇りがある; x1 はプライドが高い""><u class=""se_basna"">jgi</u>ra</a></li>","","C1::ペア・ワード","[sound:snada.flac]"
