badri	badri (dri): x1 は x2 (事)について悲しい / 落胆している; x2 は x1 を悲しませる https://jbovlaste.lojban.org/dict/badri
bajra	bajra (baj): x1 は x2 (表面)を x3 (肢)・ x4 (調子)で走る https://jbovlaste.lojban.org/dict/bajra
bakni	bakni (bak): x1 は x2 (種類)のウシ属動物 https://jbovlaste.lojban.org/dict/bakni
baktu	baktu: x1 は x2 (内容)・ x3 (素材)のバケツ / 桶 / 槽 https://jbovlaste.lojban.org/dict/baktu
balvi	balvi (bav): x1 は x2 よりも未来 / 後発; x1 は後者; x2 は前者 https://jbovlaste.lojban.org/dict/balvi
bancu	bancu (bac): x1 は x2 (境界 / 限度)を x3 (照合点)について x4 (性質 / 数量)だけ越している / 超えている https://jbovlaste.lojban.org/dict/bancu
banfi	banfi: x1 は x2 (種類)の両生綱 / 両生類動物 https://jbovlaste.lojban.org/dict/banfi
bangu	bangu (ban, bau): x1 は x2 (使用者)が x3 (概念 / 命題 / 文字列)を表すのに用いる言語; x2 は x1 語を話す https://jbovlaste.lojban.org/dict/bangu
banro	banro (ba'o): x1 は x2 (結果)に x3 (始原)から育つ / 育成する / 成長する https://jbovlaste.lojban.org/dict/banro
bapli	bapli (bap, bai): x1 (性質 / 力)は x2 (事)を引き起こす / もたらす https://jbovlaste.lojban.org/dict/bapli
barda	barda (bra): x1 は x2 (性質)に関して、 x3 (比較対象)の中で大きい https://jbovlaste.lojban.org/dict/barda
bartu	bartu (bar): x1 は x2 の外 / 外部 / 外側 https://jbovlaste.lojban.org/dict/bartu
bende	bende (bed, be'e): x1 は x2 (者達)・ x3 (引率者)からなる、 x4 (目的)のための仲間 / チーム / 乗組員 / バンド / 班 https://jbovlaste.lojban.org/dict/bende
benji	benji (bej, be'i): x1 は x2 を x3 (受け手)に x4 (起源 / 送信元)から x5 (方法 / 媒体)によって送る / 届ける https://jbovlaste.lojban.org/dict/benji
bersa	bersa (bes, be'a): x1 は x2 (親)の息子 https://jbovlaste.lojban.org/dict/bersa
berti	berti (ber): x1 は x2 にたいして x3 (照合枠)で北方 / 北側 https://jbovlaste.lojban.org/dict/berti
betfu	betfu (bef, be'u): x1 は x2 (本体)の腹 / 胴部 https://jbovlaste.lojban.org/dict/betfu
bevri	bevri (bev, bei): x1 は x2 (荷)を x3 (終点)に x4 (始点)から x5 (道筋)を通って運ぶ https://jbovlaste.lojban.org/dict/bevri
bilga	bilga (big): x1 は x2 (行為)を x3 (協定 / 契約 / 常識)のために遂行する義務を負っている; x1 は x2 をしなければならない https://jbovlaste.lojban.org/dict/bilga
bilma	bilma (bi'a): x1 は x2 (症状)の x3 (病)を患っている https://jbovlaste.lojban.org/dict/bilma
binxo	binxo (bix, bi'o): x1 は x2 に x3 (条件)の下で成る / 変身する https://jbovlaste.lojban.org/dict/binxo
birje	birje: x1 は x2 (起源)の発泡酒 / ビール / エール https://jbovlaste.lojban.org/dict/birje
birka	birka (bir): x1 は x2 (本体)の腕 https://jbovlaste.lojban.org/dict/birka
birti	birti (bit): x1 は x2 (命題)が真であると確信している https://jbovlaste.lojban.org/dict/birti
bitmu	bitmu (bim, bi'u): x1 は x2 ・ x3 を隔てる、 x4 (構造体)の壁 / 垣 / 塀 / フェンス https://jbovlaste.lojban.org/dict/bitmu
blabi	blabi (lab): x1 は白色 https://jbovlaste.lojban.org/dict/blabi
blanu	blanu (bla): x1 は青色 https://jbovlaste.lojban.org/dict/blanu
bloti	bloti (lot, blo): x1 は x2 (客 / 荷)・ x3 (原動力)の船 / ボート https://jbovlaste.lojban.org/dict/bloti
bolci	bolci (bol, boi): x1 は x2 (素材)の球体 / ボール; x1 は丸い https://jbovlaste.lojban.org/dict/bolci
botpi	botpi (bot, bo'i): x1 は x2 (内容)・ x3 (素材)・ x4 (栓 / 蓋)の瓶 / ボトル / 水筒 https://jbovlaste.lojban.org/dict/botpi
bridi	bridi (bri): x1 (du'u)は x2 (関係)を x3 (項の列 / 集合)について賓述を表す関係性 / 命題 https://jbovlaste.lojban.org/dict/bridi
